Kategori,Sub-Kategori,Fitur/Fungsi,Deskripsi,Teknologi/Implementasi,Status
UI/UX,Notifications,Success Messages,"Toast success untuk operasi berhasil",Toast Success,Active
UI/UX,Notifications,Error Messages,"Toast error untuk operasi gagal",Toast Error,Active
UI/UX,Notifications,Warning Messages,"Toast warning untuk peringatan",Toast Warning,Active
UI/UX,Tables,Pagination,"Pagination untuk tabel data besar",Server-side Pagination,Active
UI/UX,Tables,Sorting,Column sorting untuk tabel data,JavaScript Sort,Active
UI/UX,Tables,Search,Search box untuk filter data,JavaScript Filter,Active
UI/UX,Cards,Panel Cards,"Kartu device dengan informasi lengkap",Bootstrap Card,Active
UI/UX,Cards,Statistics Cards,"Kartu statistik total daya/energy",Bootstrap Card,Active
UI/UX,Cards,Anomaly Cards,"Kartu anomali dengan severity badge",Bootstrap Card,Active
UI/UX,Badges,Status Badges,"Badge warna untuk status HIGH/MEDIUM/NORMAL",Bootstrap Badge,Active
UI/UX,Badges,Phase Badges,"Badge untuk 1-Phase/3-Phase",Bootstrap Badge,Active
UI/UX,Badges,Severity Badges,"Badge warna untuk severity levels",Bootstrap Badge,Active
UI/UX,Progress Bars,Load Progress,"Progress bar persentase beban",Bootstrap Progress,Active
UI/UX,Progress Bars,Color-Coded,"Progress bar warna berdasarkan status",Custom CSS Class,Active
